Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"println(""The confirm password should be filled"")",Firefox 127.0,,,05-07-2024 13:52:18,05-07-2024 13:52:18,0.000s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_btn login_btn""))",Firefox 127.0,,,05-07-2024 13:52:18,05-07-2024 13:52:18,0.445s,PASSED
"println(""The login button should be clickable"")",Firefox 127.0,,,05-07-2024 13:52:18,05-07-2024 13:52:18,0.000s,PASSED
ActualInvalidPasswordPage = getUrl(),Firefox 127.0,,,05-07-2024 13:52:18,05-07-2024 13:52:18,0.006s,PASSED
"ExpectedInvalidPasswordPage = ""https://task-buddy-d414881265e1.herokuapp.com/register""",Firefox 127.0,,,05-07-2024 13:52:18,05-07-2024 13:52:18,0.001s,PASSED
"verifyMatch(ActualInvalidPasswordPage, ExpectedInvalidPasswordPage, false)",Firefox 127.0,,,05-07-2024 13:52:18,05-07-2024 13:52:18,0.002s,PASSED
"takeScreenshot(""C:\Taskbuddy\InvalidPassword.png"")",Firefox 127.0,,,05-07-2024 13:52:18,05-07-2024 13:52:19,0.401s,PASSED
Start listener action : AfterTestCase,Firefox 127.0,,,05-07-2024 13:52:19,05-07-2024 13:52:19,0.778s,PASSED
,,,,,,,
Test Cases/Registration/TC004_Create a new account with with confirm password does not match with password,Firefox 127.0,,,05-07-2024 13:52:19,05-07-2024 13:52:28,8.592s,PASSED
Start listener action : BeforeTestCase,Firefox 127.0,,,05-07-2024 13:52:20,05-07-2024 13:52:21,1.944s,PASSED
navigateToUrl(URL),Firefox 127.0,,,05-07-2024 13:52:22,05-07-2024 13:52:22,0.392s,PASSED
ActualURL = getUrl(),Firefox 127.0,,,05-07-2024 13:52:22,05-07-2024 13:52:22,0.013s,PASSED
"ExpectedURL = ""https://task-buddy-d414881265e1.herokuapp.com/""",Firefox 127.0,,,05-07-2024 13:52:22,05-07-2024 13:52:22,0.000s,PASSED
"verifyMatch(ActualURL, ExpectedURL, false)",Firefox 127.0,,,05-07-2024 13:52:22,05-07-2024 13:52:22,0.002s,PASSED
"println(""The website is accessible"")",Firefox 127.0,,,05-07-2024 13:52:22,05-07-2024 13:52:22,0.001s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/a_Register""))",Firefox 127.0,,,05-07-2024 13:52:22,05-07-2024 13:52:24,2.309s,PASSED
ActualRegisterUrl = getUrl(),Firefox 127.0,,,05-07-2024 13:52:24,05-07-2024 13:52:24,0.005s,PASSED
"ExpectedRegisterUrl = ""https://task-buddy-d414881265e1.herokuapp.com/register""",Firefox 127.0,,,05-07-2024 13:52:24,05-07-2024 13:52:24,0.001s,PASSED
"verifyMatch(ActualRegisterUrl, ExpectedRegisterUrl, false)",Firefox 127.0,,,05-07-2024 13:52:24,05-07-2024 13:52:24,0.007s,PASSED
"println(""The url is correct"")",Firefox 127.0,,,05-07-2024 13:52:24,05-07-2024 13:52:24,0.001s,PASSED
"ActualRegisterTitle = getText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/strong_Register_Title""))",Firefox 127.0,,,05-07-2024 13:52:24,05-07-2024 13:52:25,0.436s,PASSED
"ExpectedRegisterTitle = ""Register""",Firefox 127.0,,,05-07-2024 13:52:25,05-07-2024 13:52:25,0.000s,PASSED
"verifyMatch(ActualRegisterTitle, ExpectedRegisterTitle, false)",Firefox 127.0,,,05-07-2024 13:52:25,05-07-2024 13:52:25,0.001s,PASSED
"println(""The title is Register"")",Firefox 127.0,,,05-07-2024 13:52:25,05-07-2024 13:52:25,0.001s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_name""), fullname)",Firefox 127.0,,,05-07-2024 13:52:25,05-07-2024 13:52:25,0.460s,PASSED
"println(""The fullname should be filled"")",Firefox 127.0,,,05-07-2024 13:52:25,05-07-2024 13:52:25,0.000s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_email""), email)",Firefox 127.0,,,05-07-2024 13:52:25,05-07-2024 13:52:26,0.468s,PASSED
"println(""The email should be filled"")",Firefox 127.0,,,05-07-2024 13:52:26,05-07-2024 13:52:26,0.000s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_password""), password)",Firefox 127.0,,,05-07-2024 13:52:26,05-07-2024 13:52:26,0.241s,PASSED
"println(""The password should be filled"")",Firefox 127.0,,,05-07-2024 13:52:26,05-07-2024 13:52:26,0.000s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_password_confirmation""), confirmpassword)",Firefox 127.0,,,05-07-2024 13:52:26,05-07-2024 13:52:26,0.241s,PASSED
"println(""The confirm password should be filled"")",Firefox 127.0,,,05-07-2024 13:52:26,05-07-2024 13:52:26,0.002s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_btn login_btn""))",Firefox 127.0,,,05-07-2024 13:52:26,05-07-2024 13:52:26,0.379s,PASSED
"println(""The login button should be clickable"")",Firefox 127.0,,,05-07-2024 13:52:26,05-07-2024 13:52:26,0.001s,PASSED
"ActualErrorConfirmPass = getText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/strong_The password field confirmation does_0e0384""))",Firefox 127.0,,,05-07-2024 13:52:26,05-07-2024 13:52:27,0.432s,PASSED
"ExpectedErrorConfirmPass = ""The password field confirmation does not match.""",Firefox 127.0,,,05-07-2024 13:52:27,05-07-2024 13:52:27,0.001s,PASSED
"verifyMatch(ActualErrorConfirmPass, ExpectedErrorConfirmPass, false)",Firefox 127.0,,,05-07-2024 13:52:27,05-07-2024 13:52:27,0.002s,PASSED
"takeScreenshot(""C:\Taskbuddy\InvalidConfirmPassword.png"")",Firefox 127.0,,,05-07-2024 13:52:27,05-07-2024 13:52:27,0.405s,PASSED
Start listener action : AfterTestCase,Firefox 127.0,,,05-07-2024 13:52:27,05-07-2024 13:52:28,0.763s,PASSED
,,,,,,,
Test Cases/Registration/TC005_Navigate to login page from registration form,Firefox 127.0,,,05-07-2024 13:52:28,05-07-2024 13:52:38,9.470s,PASSED
Start listener action : BeforeTestCase,Firefox 127.0,,,05-07-2024 13:52:28,05-07-2024 13:52:30,1.804s,PASSED
navigateToUrl(URL),Firefox 127.0,,,05-07-2024 13:52:30,05-07-2024 13:52:30,0.425s,PASSED
ActualURL = getUrl(),Firefox 127.0,,,05-07-2024 13:52:30,05-07-2024 13:52:30,0.006s,PASSED
"ExpectedURL = ""https://task-buddy-d414881265e1.herokuapp.com/""",Firefox 127.0,,,05-07-2024 13:52:30,05-07-2024 13:52:30,0.000s,PASSED
"verifyMatch(ActualURL, ExpectedURL, false)",Firefox 127.0,,,05-07-2024 13:52:30,05-07-2024 13:52:30,0.002s,PASSED
"println(""The website is accessible"")",Firefox 127.0,,,05-07-2024 13:52:30,05-07-2024 13:52:30,0.001s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/a_Register""))",Firefox 127.0,,,05-07-2024 13:52:30,05-07-2024 13:52:35,4.952s,PASSED
ActualRegisterUrl = getUrl(),Firefox 127.0,,,05-07-2024 13:52:35,05-07-2024 13:52:35,0.011s,PASSED
"ExpectedRegisterUrl = ""https://task-buddy-d414881265e1.herokuapp.com/register""",Firefox 127.0,,,05-07-2024 13:52:35,05-07-2024 13:52:35,0.000s,PASSED
"verifyMatch(ActualRegisterUrl, ExpectedRegisterUrl, false)",Firefox 127.0,,,05-07-2024 13:52:35,05-07-2024 13:52:35,0.002s,PASSED
"println(""The url is correct"")",Firefox 127.0,,,05-07-2024 13:52:35,05-07-2024 13:52:35,0.001s,PASSED
"ActualRegisterTitle = getText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/strong_Register_Title""))",Firefox 127.0,,,05-07-2024 13:52:35,05-07-2024 13:52:36,0.430s,PASSED
"ExpectedRegisterTitle = ""Register""",Firefox 127.0,,,05-07-2024 13:52:36,05-07-2024 13:52:36,0.001s,PASSED
"verifyMatch(ActualRegisterTitle, ExpectedRegisterTitle, false)",Firefox 127.0,,,05-07-2024 13:52:36,05-07-2024 13:52:36,0.002s,PASSED
"println(""The title is Register"")",Firefox 127.0,,,05-07-2024 13:52:36,05-07-2024 13:52:36,0.000s,PASSED
