Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Start listener action : AfterTestCase,Firefox 122.0,,,05-07-2024 21:24:52,05-07-2024 21:24:54,1.750s,PASSED
,,,,,,,
Test Cases/Registration/TC005_Navigate to login page from registration form,Firefox 122.0,,,05-07-2024 21:24:54,05-07-2024 21:25:09,15.282s,PASSED
Start listener action : BeforeTestCase,Firefox 122.0,,,05-07-2024 21:24:54,05-07-2024 21:24:57,3.808s,PASSED
navigateToUrl(URL),Firefox 122.0,,,05-07-2024 21:24:58,05-07-2024 21:25:02,3.996s,PASSED
ActualURL = getUrl(),Firefox 122.0,,,05-07-2024 21:25:02,05-07-2024 21:25:02,0.033s,PASSED
"ExpectedURL = ""https://task-buddy-d414881265e1.herokuapp.com/""",Firefox 122.0,,,05-07-2024 21:25:02,05-07-2024 21:25:02,0.001s,PASSED
"verifyMatch(ActualURL, ExpectedURL, false)",Firefox 122.0,,,05-07-2024 21:25:02,05-07-2024 21:25:02,0.003s,PASSED
"println(""The website is accessible"")",Firefox 122.0,,,05-07-2024 21:25:02,05-07-2024 21:25:02,0.002s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/a_Register""))",Firefox 122.0,,,05-07-2024 21:25:02,05-07-2024 21:25:06,4.136s,PASSED
ActualRegisterUrl = getUrl(),Firefox 122.0,,,05-07-2024 21:25:06,05-07-2024 21:25:06,0.010s,PASSED
"ExpectedRegisterUrl = ""https://task-buddy-d414881265e1.herokuapp.com/register""",Firefox 122.0,,,05-07-2024 21:25:06,05-07-2024 21:25:06,0.002s,PASSED
"verifyMatch(ActualRegisterUrl, ExpectedRegisterUrl, false)",Firefox 122.0,,,05-07-2024 21:25:06,05-07-2024 21:25:06,0.005s,PASSED
"println(""The url is correct"")",Firefox 122.0,,,05-07-2024 21:25:06,05-07-2024 21:25:06,0.002s,PASSED
"ActualRegisterTitle = getText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/strong_Register_Title""))",Firefox 122.0,,,05-07-2024 21:25:06,05-07-2024 21:25:06,0.252s,PASSED
"ExpectedRegisterTitle = ""Register""",Firefox 122.0,,,05-07-2024 21:25:06,05-07-2024 21:25:06,0.001s,PASSED
"verifyMatch(ActualRegisterTitle, ExpectedRegisterTitle, false)",Firefox 122.0,,,05-07-2024 21:25:06,05-07-2024 21:25:06,0.004s,PASSED
"println(""The title is Register"")",Firefox 122.0,,,05-07-2024 21:25:06,05-07-2024 21:25:06,0.001s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/a_Log In""))",Firefox 122.0,,,05-07-2024 21:25:06,05-07-2024 21:25:07,0.730s,PASSED
"println(""The login button is clickable"")",Firefox 122.0,,,05-07-2024 21:25:07,05-07-2024 21:25:07,0.003s,PASSED
ActualLogin = getUrl(),Firefox 122.0,,,05-07-2024 21:25:07,05-07-2024 21:25:07,0.008s,PASSED
